ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Text\" DisplayName=\"BayDisplayName\" Name=\"field_1\" ID=\"{f6ee9189-27eb-42d4-ae9a-11bf1d785a0b}\" StaticName=\"field_1\" />","<Field Type=\"Text\" DisplayName=\"MapSection\" Name=\"field_2\" ID=\"{8124203e-4d63-47ce-90ba-2e7526f4989c}\" StaticName=\"field_2\" />","<Field Type=\"Number\" DisplayName=\"BayNumber\" Name=\"field_3\" ID=\"{857e717b-0085-4936-9c4d-5cbc7c08bf16}\" StaticName=\"field_3\" />","<Field Type=\"Number\" DisplayName=\"BaySlot\" Name=\"field_4\" ID=\"{8825d1d5-a3d9-4051-b432-7dabb2185a58}\" StaticName=\"field_4\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"BayCategory\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_5\" Title=\"BayCategory\" Type=\"Choice\" ID=\"{4b222483-0c4c-42f6-b102-2d22a3edc344}\" StaticName=\"field_5\"><CHOICES><CHOICE>Coral</CHOICE><CHOICE>Tempered</CHOICE><CHOICE>MirrorAnnealed</CHOICE><CHOICE>ManualOversized</CHOICE><CHOICE>Ignored</CHOICE><CHOICE>SDI</CHOICE><CHOICE>Overflow</CHOICE><CHOICE>ManualException</CHOICE></CHOICES></Field>","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"AutoAssignable\" Format=\"Dropdown\" Name=\"field_6\" Title=\"AutoAssignable\" Type=\"Boolean\" ID=\"{83aaf82f-13a0-4956-847f-eeee8d39b6bf}\" StaticName=\"field_6\"><Default>1</Default></Field>","<Field Type=\"Number\" DisplayName=\"AssignmentPriority\" Name=\"field_7\" ID=\"{d8b5be32-6471-4463-a24c-dcf970ed2e53}\" StaticName=\"field_7\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"BayStatus\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_8\" Title=\"BayStatus\" Type=\"Choice\" ID=\"{e52b3b37-d7ee-4a84-80d0-57bfa3012a2f}\" StaticName=\"field_8\"><CHOICES><CHOICE>Available</CHOICE><CHOICE>ManualHold</CHOICE><CHOICE>OutOfService</CHOICE></CHOICES></Field>","<Field Type=\"Text\" DisplayName=\"SourceCell\" Name=\"field_9\" ID=\"{4a43e5ed-dc06-48cf-957d-5c4d40d1c33c}\" StaticName=\"field_9\" />","<Field AppendOnly=\"FALSE\" ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Notes\" Format=\"Dropdown\" IsolateStyles=\"FALSE\" Name=\"field_10\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Notes\" Type=\"Note\" ID=\"{3a7b8f59-29ba-492a-a3d5-5df310d0198e}\" StaticName=\"field_10\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"BayKey\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"BayKey","BayDisplayName","MapSection","BayNumber","BaySlot","BayCategory","AutoAssignable","AssignmentPriority","BayStatus","SourceCell","Notes"
"Q-BAY02-10","2--10","Bay 2","2","10","Coral","False","210","ManualHold","B38","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-11","2--11","Bay 2","2","11","Coral","False","211","ManualHold","B39","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-12","2--12","Bay 2","2","12","Coral","False","212","ManualHold","B40","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-13","2--13","Bay 2","2","13","Coral","False","213","ManualHold","B41","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-14","2--14","Bay 2","2","14","Coral","False","214","ManualHold","B42","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-15","2--15","Bay 2","2","15","Coral","False","215","ManualHold","B43","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-16","2--16","Bay 2","2","16","Coral","False","216","ManualHold","B44","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-17","2--17","Bay 2","2","17","Coral","False","217","ManualHold","B45","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-18","2--18","Bay 2","2","18","Coral","False","218","ManualHold","B46","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-19","2--19","Bay 2","2","19","Coral","False","219","ManualHold","B47","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-20","2--20","Bay 2","2","20","Coral","False","220","ManualHold","B48","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-21","2--21","Bay 2","2","21","Coral","False","221","ManualHold","B49","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY02-22","2--22","Bay 2","2","22","Coral","False","222","ManualHold","B50","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-01","3--1","Bay 3","3","1","Coral","False","301","ManualHold","B55","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-02","3--2","Bay 3","3","2","Coral","False","302","ManualHold","B56","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-03","3--3","Bay 3","3","3","Coral","False","303","ManualHold","B57","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-04","3--4","Bay 3","3","4","Coral","False","304","ManualHold","B58","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-05","3--5","Bay 3","3","5","Coral","False","305","ManualHold","B59","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-06","3--6","Bay 3","3","6","Coral","False","306","ManualHold","B60","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-07","3--7","Bay 3","3","7","Coral","False","307","ManualHold","B61","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-08","3--8","Bay 3","3","8","Coral","False","308","ManualHold","B62","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-09","3--9","Bay 3","3","9","Coral","False","309","ManualHold","B63","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-10","3--10","Bay 3","3","10","Coral","False","310","ManualHold","B64","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-11","3--11","Bay 3","3","11","Coral","False","311","ManualHold","B65","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-12","3--12","Bay 3","3","12","Coral","False","312","ManualHold","B66","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-13","3--13","Bay 3","3","13","Coral","False","313","ManualHold","B67","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-14","3--14","Bay 3","3","14","Coral","False","314","ManualHold","B68","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-15","3--15","Bay 3","3","15","Coral","False","315","ManualHold","B69","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-16","3--16","Bay 3","3","16","Coral","False","316","ManualHold","B70","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-17","3--17","Bay 3","3","17","Coral","False","317","ManualHold","B71","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-18","3--18","Bay 3","3","18","Coral","False","318","ManualHold","B72","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-19","3--19","Bay 3","3","19","Coral","False","319","ManualHold","B73","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-20","3--20","Bay 3","3","20","Coral","False","320","ManualHold","B74","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-21","3--21","Bay 3","3","21","Coral","False","321","ManualHold","B75","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-22","3--22","Bay 3","3","22","Coral","False","322","ManualHold","B76","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY03-23","3--23","Bay 3","3","23","Coral","False","323","ManualHold","B77","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-01","4--1","Bay 4","4","1","Coral","False","401","ManualHold","B82","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-02","4--2","Bay 4","4","2","Coral","False","402","ManualHold","B83","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-03","4--3","Bay 4","4","3","Coral","False","403","ManualHold","B84","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-04","4--4","Bay 4","4","4","Coral","False","404","ManualHold","B85","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-05","4--5","Bay 4","4","5","Coral","False","405","ManualHold","B86","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-06","4--6","Bay 4","4","6","Coral","False","406","ManualHold","B87","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-07","4--7","Bay 4","4","7","Coral","False","407","ManualHold","B88","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-08","4--8","Bay 4","4","8","Coral","False","408","ManualHold","B89","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-09","4--9","Bay 4","4","9","Coral","False","409","ManualHold","B90","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-10","4--10","Bay 4","4","10","Coral","False","410","ManualHold","B91","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-11","4--11","Bay 4","4","11","Coral","False","411","ManualHold","B92","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-12","4--12","Bay 4","4","12","Coral","False","412","ManualHold","B93","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-13","4--13","Bay 4","4","13","Coral","False","413","ManualHold","B94","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-14","4--14","Bay 4","4","14","Coral","False","414","ManualHold","B95","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-15","4--15","Bay 4","4","15","Coral","False","415","ManualHold","B96","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-16","4--16","Bay 4","4","16","Coral","False","416","ManualHold","B97","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-17","4--17","Bay 4","4","17","Coral","False","417","ManualHold","B98","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-18","4--18","Bay 4","4","18","Coral","False","418","ManualHold","B99","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-19","4--19","Bay 4","4","19","Coral","False","419","ManualHold","B100","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-20","4--20","Bay 4","4","20","Coral","False","420","ManualHold","B101","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-21","4--21","Bay 4","4","21","Coral","False","421","ManualHold","B102","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-22","4--22","Bay 4","4","22","Coral","False","422","ManualHold","B103","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY04-23","4--23","Bay 4","4","23","Coral","False","423","ManualHold","B104","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-01","5--1","Bay 5","5","1","Coral","False","501","ManualHold","B109","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-02","5--2","Bay 5","5","2","Coral","False","502","ManualHold","B110","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-03","5--3","Bay 5","5","3","Coral","False","503","ManualHold","B111","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-04","5--4","Bay 5","5","4","Coral","False","504","ManualHold","B112","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-05","5--5","Bay 5","5","5","Coral","False","505","ManualHold","B113","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-06","5--6","Bay 5","5","6","Coral","False","506","ManualHold","B114","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-07","5--7","Bay 5","5","7","Coral","False","507","ManualHold","B115","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-08","5--8","Bay 5","5","8","Coral","False","508","ManualHold","B116","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-09","5--9","Bay 5","5","9","Coral","False","509","ManualHold","B117","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-10","5--10","Bay 5","5","10","Coral","False","510","ManualHold","B118","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-11","5--11","Bay 5","5","11","Coral","False","511","ManualHold","B119","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-12","5--12","Bay 5","5","12","Coral","False","512","ManualHold","B120","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-13","5--13","Bay 5","5","13","Coral","False","513","ManualHold","B121","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-14","5--14","Bay 5","5","14","Coral","False","514","ManualHold","B122","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-15","5--15","Bay 5","5","15","Coral","False","515","ManualHold","B123","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-16","5--16","Bay 5","5","16","Coral","False","516","ManualHold","B124","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-17","5--17","Bay 5","5","17","Coral","False","517","ManualHold","B125","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-18","5--18","Bay 5","5","18","Coral","False","518","ManualHold","B126","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-19","5--19","Bay 5","5","19","Coral","False","519","ManualHold","B127","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-20","5--20","Bay 5","5","20","Coral","False","520","ManualHold","B128","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-21","5--21","Bay 5","5","21","Coral","False","521","ManualHold","B129","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY05-22","5--22","Bay 5","5","22","Coral","False","522","ManualHold","B130","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY06-01","6--1","Bay 6","6","1","Coral","False","601","ManualHold","B135","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
"Q-BAY06-02","6--2","Bay 6","6","2","Coral","False","602","ManualHold","B136","Red bays 1-11 are currently reserved for Coral/other company material. Do not auto-assign in v1."
